"sex","language","siblings","account_num","story_views","day_time_min","num_follower","num_post","effectiveness","attractiveness","private_d"
"F","English",1,1,202,120,620,1,"Agree",4,0
"F","Italian",1,1,20,1,200,10,"Agree",6,0
"M","Italian",1,1,496,60,816,17,"Agree",6,0
"M","Italian",2,2,100,90,300,2,"Agree",6,0
"M","Italian",2,1,100,60,500,8,"Agree",3,0
"M","English",1,1,500,90,1050,3,"Agree",7,0
"M","Italian",2,1,35,180,84,0,"Agree",1,0
"M","Italian",1,1,389,40,689,0,"Agree",1,0
"M","English",3,2,127,60,385,0,"Agree",7,0
"F","Other",2,1,60,60,100,0,"Agree",6,0
"F","Italian",1,1,200,90,525,10,"Agree",6,0
"M","Italian",0,1,183,125,558,9,"Agree",7,0
"F","Italian",2,1,86,18,221,1,"Agree",5,0
"F","Italian",1,1,475,30,1200,13,"Strongly agree",7,0
"F","Italian",1,1,227,70,486,4,"Agree",6,0
"M","Italian",1,2,350,35,721,6,"Agree",6,0
"F","Italian",1,20,200,20,321,13,"Agree",1,0
"F","Italian",3,2,574,90,1472,0,"Agree",1,0
"F","Italian",1,1,140,60,235,2,"Agree",5,0
"M","Italian",2,1,250,60,650,6,"Agree",7,0
"F","Italian",1,1,300,60,1660,28,"Agree",7,0
"F","Italian",2,1,200,60,1444,8,"Agree",9,0
"F","Italian",2,2,127,69,394,4,"Agree",8,0
"F","Italian",1,1,400,90,883,2,"Strongly agree",2,0
"F","Italian",2,2,200,90,1764,7,"Agree",5,0
"M","Italian",1,1,312,29,659,9,"Strongly agree",7,0
"F","Italian",3,1,120,90,460,0,"Agree",5,0
"M","Italian",1,1,250,30,515,18,"Agree",7,0
"F","English",1,3,500,30,1010,15,"Agree",8,0
"M","Italian",1,1,540,115,2123,13,"Agree",6,0
"M","Italian",1,1,120,120,766,2,"Strongly agree",4,0
"M","Italian",1,1,320,100,950,21,"Strongly agree",8,0
"M","Italian",0,3,180,180,642,12,"Strongly agree",8,0
"F","Italian",1,1,225,70,500,5,"Agree",5,0
